category,rank,name,location,imageurl,description,latitude,longitude,ratingurl
beaches,11,Cable Beach,"Broome, Australia",https://media-cdn.tripadvisor.com/media/photo-s/05/80/f0/21/cable-beach.jpg,"The sunsets are amazing, spacious grassed picnic areas, iconic camel rides and beach side restaurants.",-17.9566909,122.2240181,/Attraction_Review-g255102-d296145-Reviews-Cable_Beach-Broome_Kimberley_Region_Western_Australia.html
beaches,12,Praia da Falesia,"Olhos de Agua, Portugal",https://media-cdn.tripadvisor.com/media/photo-s/04/7c/91/30/falesia-beach.jpg,Gorgeous red sand cliffs lead to the green-blue ocean and a white sand beach that seemingly stretches forever.,37.0920248,-8.1912286,/Attraction_Review-g1190872-d669516-Reviews-Praia_da_Falesia-Olhos_de_Agua_Albufeira_Faro_District_Algarve.html
beaches,13,Hapuna Beach State Recreation Area,"Puako, Hawaii",https://media-cdn.tripadvisor.com/media/photo-s/19/58/01/e7/20190912-154017-largejpg.jpg,There is a small set of rocks that provided some of the best snorkeling we saw on the island! The water was crystal clear and the brightly colored tropical fish plentiful.,19.970122,-155.839005,/Attraction_Review-g2312116-d154307-Reviews-Hapuna_Beach_State_Recreation_Area-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html
beaches,14,Siesta Beach,"Siesta Key, Florida",https://media-cdn.tripadvisor.com/media/photo-s/10/1e/3c/c6/photo3jpg.jpg,"Absolutely beautiful beach with silky quartz sand! Great beach for people watching, sunsets, breakfast/morning walk on beach and finding sand dollars.",27.276201,-82.5642993,/Attraction_Review-g34636-d123075-Reviews-Siesta_Beach-Siesta_Key_Florida.html
beaches,15,Maho Bay Beach,"Cruz Bay, St. John",https://media-cdn.tripadvisor.com/media/photo-s/03/e2/26/55/maho-bay-beach.jpg,A beautiful white sand beach known for snorkeling with sea turtles. We saw countless turtles and an octopus while snorkeling just off the beach.,18.321806,-64.784806,/Attraction_Review-g147410-d3599085-Reviews-Maho_Bay_Beach-Cruz_Bay_St_John_U_S_Virgin_Islands.html
beaches,16,Poipu Beach Park,"Poipu, Hawaii",https://media-cdn.tripadvisor.com/media/photo-s/15/17/48/a6/poipu-beach-park.jpg,"There was amazing snorkeling area, a small beach shielded from the waves for the little ones, and surfing all within a short distance of each other.",21.8766526,-159.4539141,/Attraction_Review-g60625-d155138-Reviews-Poipu_Beach_Park-Poipu_Koloa_Kauai_Hawaii.html
beaches,17,Playa de Muro Beach,"Playa de Muro, Spain",https://media-cdn.tripadvisor.com/media/photo-w/1c/45/97/10/muro.jpg,"Playa de Muro has a wonderful, sandy beach with a warm, clear turquoise sea. Ideal for children because of its gentle, shallow waters.",39.80850355,3.118328024692635,/Attraction_Review-g1222290-d3809743-Reviews-Playa_de_Muro_Beach-Playa_de_Muro_Majorca_Balearic_Islands.html
beaches,18,Playa Manuel Antonio,"Manuel Antonio, Costa Rica",https://media-cdn.tripadvisor.com/media/photo-s/16/7a/c4/62/photo5jpg.jpg,"Beautiful beach with patches of sparkly black sand and very few waves, idyllic to float and bask.",9.4107288,-84.1557625,/Attraction_Review-g309274-d555759-Reviews-Playa_Manuel_Antonio-Manuel_Antonio_Quepos_Province_of_Puntarenas.html
beaches,19,Playa Norte,Isla Mujeres,https://media-cdn.tripadvisor.com/media/photo-s/05/aa/dd/77/playa-norte.jpg,The water is clear and every beautiful shade of blue you can imagine. It’s the very essence of true paradise.,21.2371906,-86.7350001,/Attraction_Review-g150810-d543150-Reviews-Playa_Norte-Isla_Mujeres_Yucatan_Peninsula.html
beaches,20,Nungwi Beach,"Nungwi, Tanzania",https://media-cdn.tripadvisor.com/media/photo-w/16/f9/da/bc/20190329-123852-largejpg.jpg,"Amazing combination of white, velvet-like sands and water changing colors throughout the day, from light blue to emerald green.",-5.7272268,39.2992016,/Attraction_Review-g616016-d8038472-Reviews-Nungwi_Beach-Nungwi_Zanzibar_Island_Zanzibar_Archipelago.html
beaches,21,Magens Bay,"Magens Bay, St. Thomas",https://media-cdn.tripadvisor.com/media/photo-s/0b/09/33/ed/magens-bay.jpg,Beautiful Beach! Gorgeous colors! Great snorkeling right off the beach. Bring flippers if you want to get out a bit further to see some turtles.,35.746936,-98.749156,/Attraction_Review-g147406-d149849-Reviews-Magens_Bay-Magens_Bay_St_Thomas_U_S_Virgin_Islands.html
beaches,22,Nissi Beach,"Ayia Napa, Cyprus",https://media-cdn.tripadvisor.com/media/photo-s/0b/f3/e8/fe/caption.jpg,Longish sweeping beach with lovely clear warm water with various tavernas along the way. Loads of sunbeds with umbrellas.,34.9893216,33.9962036,/Attraction_Review-g262055-d1519581-Reviews-Nissi_Beach-Ayia_Napa_Famagusta_District.html
beaches,23,Bavaro Beach,"Bavaro, Dominican Republic",https://media-cdn.tripadvisor.com/media/photo-s/17/35/0b/ff/from-the-water.jpg,The water is as crystal clear as you see in a magazine and the beach is well maintained with no rocks. A place of total relaxation.,18.6107716,-68.4110862,/Attraction_Review-g3176298-d215733-Reviews-Bavaro_Beach-Bavaro_Punta_Cana_La_Altagracia_Province_Dominican_Republic.html
beaches,24,Balos Lagoon,"Kissamos, Greece",https://media-cdn.tripadvisor.com/media/photo-s/14/cc/c6/51/balos-lagoon.jpg,Feels like another planet. A breathtaking place with a lagoon on one side and a beach on the other.,35.4933441,23.6594698,/Attraction_Review-g1028265-d1549927-Reviews-Balos_Lagoon-Kissamos_Chania_Prefecture_Crete.html
beaches,25,Yonaha Maehama Beach,"Miyakojima, Japan",https://media-cdn.tripadvisor.com/media/photo-w/10/e9/01/77/photo0jpg.jpg,"It’s a beach you can dream about. A lot of sand, clear and warm water and these views. It’s a perfect vacation spot.",24.8054647,125.2811296,/Attraction_Review-g680765-d1412209-Reviews-Yonaha_Maehama_Beach-Miyakojima_Okinawa_Prefecture.html
