id,category,rank,name,location,imageurl,description,latitude,longitude,rate,total_reviews,excellent,very_good,average,poor,terrible
things11,things,11,The Best tour in Florence: Renaissance & Medici Tales - guided by a STORYTELLER,"Florence, Italy",https://media-cdn.tripadvisor.com/media/photo-s/22/db/2a/43/caption.jpg,A great way to learn more about how the Medici family shaped Florence. My tour guide did an excellent job turning complicated history into easy-to-follow stories.,43.7698712,11.2555757,5.0,2600,2535,52,7,3,3
things12,things,12,Hot Air Balloons Ride in Luxor Egypt By HOD-HOD SOLIMAN,"Luxor, Egypt",https://media-cdn.tripadvisor.com/media/photo-s/1a/66/21/ef/caption.jpg,"Loved it from beginning to end - so still up in the air, incredible views of the Valley of the Kings and several temples, and a stunning sunrise. Unbeatable!",25.702096,32.647186,5.0,1870,1822,38,3,4,3
things13,things,13,Cappadocia Balloon Ride and Champagne Breakfast,"Goreme, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/23/aa/2c/9d/cappadocia-balloon-ride.jpg,"A dream come true. The scenery was beautiful, and the flight was breathtaking. The entire crew of staff were professional and caring.",38.642089,34.8296234,5.0,2997,2927,54,7,4,5
things14,things,14,Little Havana Food and Walking Tour in Miami,"Miami, Florida",https://media-cdn.tripadvisor.com/media/photo-s/23/80/6e/73/caption.jpg,"Great food, great local history, and great new friends. A fun experience that I would definitely recommend as a way to get aquatinted with a new community.",25.7741728,-80.19362,5.0,2789,2686,74,21,3,5
things15,things,15,Half-Day Mojave Desert ATV Tour from Las Vegas,"Las Vegas, Nevada",https://media-cdn.tripadvisor.com/media/photo-s/1c/ba/91/9d/caption.jpg,"Thoroughly enjoyed the entire tour. Detailed, funny, and most importantly very serious about our safety and gave a great experience that I would definitely do again!",36.1672559,-115.148516,5.0,4475,4242,126,42,29,36
things16,things,16,The Chocolatarium Chocolate Tour Experience in Edinburgh,"Edinburgh, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/21/63/0b/53/the-chocolatarium-chocolate.jpg,Hidden Gem of Edinburgh tourism,55.9533456,-3.1883749,5.0,1819,1771,39,7,0,2
things17,things,17,Cab tours belfast famous black taxi tours,"Belfast, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/23/84/1c/7f/caption.jpg,Amazing!,54.603533,-5.928807,5.0,2182,2150,29,1,0,2
things18,things,18,Adventure Dubrovnik - Sea Kayaking and Snorkeling Tour,"Dubrovnik, Croatia",https://media-cdn.tripadvisor.com/media/photo-s/1d/c1/4b/2c/kayak.jpg,Best day yet!,42.64873625,18.094680152605108,5.0,2460,2358,85,13,1,3
things19,things,19,"Best of Istanbul: 1, 2 or 3-Day Private Guided Istanbul Tour","Istanbul, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/1a/5b/33/2f/caption.jpg,Great and flexible way to see the city,41.0091982,28.9662187,5.0,2189,2138,42,4,3,2
things20,things,20,"Chichen Itza, Cenote and Valladolid All-Inclusive Tour","Cancun, Mexico",https://media-cdn.tripadvisor.com/media/photo-s/1c/86/e8/ce/caption.jpg,Make the most of the drive to the ruins!,21.1617854,-86.8510468,5.0,9525,8598,628,133,42,124
things21,things,21,Dubai: Old and Modern City Tour with Blue Mosque Visit by OceanAir™️,"Dubai, United Arab Emirates",https://media-cdn.tripadvisor.com/media/photo-s/1a/e4/81/dc/caption.jpg,Dubai : Went to the Yacht cruise with Oceaniar Tour Travel guide,25.2653471,55.2924914,5.0,1228,1202,24,1,1,0
things22,things,22,Vespa Sidecar Tour in Rome with Cappuccino,"Rome, Italy",https://media-cdn.tripadvisor.com/media/photo-s/1a/65/2d/88/caption.jpg,Excellent! Best way to see Rome in style!,41.8933203,12.4829321,5.0,829,829,0,0,0,0
things23,things,23,ABC Snorkel Charters Port Douglas Snorkelling max 12 passengers,"Port Douglas, Australia",https://media-cdn.tripadvisor.com/media/photo-s/21/b6/b0/f2/guided-outer-reef-snorkelling.jpg,Definitely a 10 Star Experience,-16.4845983,145.4636294,5.0,619,617,2,0,0,0
things24,things,24,"Paragliding Oludeniz, Fethiye, Turkey","Oludeniz, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/1d/1e/c0/7a/caption.jpg,"Brilliant experience. We took off from a snowy mountain, flew through a clear blue sky and landed on the beach.",36.5728162,29.135727,5.0,1316,1300,10,3,1,2
things25,things,25,"Arenales Caves, River and Waterfall Plus Hidden Spring Full Day Adventure in PR","San Juan, Puerto Rico",https://media-cdn.tripadvisor.com/media/photo-s/1d/1e/c0/0f/caption.jpg,Adventures in nature,18.46633,-66.10572,5.0,649,646,2,0,0,1
